training-rmse,validation-rmse
190.45889482129954,189.97671335684774
152.41173776882226,152.05590052903318
129.15343287750707,128.9160658371486
115.62808301637794,115.48440664892144
106.72281597979871,106.63135622695007
100.54729624987492,100.48961509338383
96.7566882393796,96.7490961039992
93.82435895259404,93.81539765018083
91.57066903961152,91.60451552873492
89.69102135756563,89.73815420710653
88.39165841516974,88.44165535010039
87.56342932018153,87.60643136051497
86.55165882032375,86.57234240194762
85.68392573955464,85.71432149951966
84.87646643639413,84.91916284028291
84.25670183573337,84.29999173190058
83.57387297995483,83.62672305760256
82.17769562798262,82.25864970191978
81.26552201720075,81.32649677196308
80.37065864151008,80.45990757220282
79.94840672593651,80.05270754941907
78.82714978670799,78.95881125365065
78.40201929610778,78.51518729298903
77.62486742247626,77.74377166456341
77.12735367978506,77.25444557484292
76.45739836439718,76.5750820428522
76.11318711666816,76.20678501700887
75.68684106389928,75.78768461380328
75.01133591807472,75.12331608558515
74.69389490031858,74.79684072232757
74.38830455764577,74.5073703231675
73.7737824298123,73.89222300419867
73.44723914069837,73.57052838304057
73.05236029951965,73.15569851293078
72.67553516506612,72.7890588540315
72.29123524156252,72.396600914651
72.09912389858356,72.20545383505794
71.73142291869038,71.83876934935215
71.25299012010422,71.37516059585874
70.62133235403638,70.7352463611671
70.25296974331765,70.3493799838561
69.71979764254142,69.82215991926925
69.55923953107589,69.64559651200605
69.30927478310868,69.41778314813888
68.94646644813781,69.03991181317795
68.6667659666794,68.76169703690113
68.51568785509046,68.60614822761872
68.37768422788658,68.4691082461671
68.24499903391774,68.34140454349273
67.84496189849641,67.92039662340851
