training-rmse,validation-rmse
2504164.1113178646,2504196.638378238
1752915.409384116,1752947.938733646
1227041.1854394053,1227073.7142145925
858929.1291718179,858961.6583017412
601250.564006005,601283.0931184839
420875.57172820525,420908.10101773817
294612.9993640382,294645.5281521792
206229.15948622284,206261.68826467346
144360.47304023776,144393.00120270532
101052.3459459235,101084.8731248512
70736.73071168491,70769.25753528863
49515.76408545961,49548.28969814236
34661.02218215301,34693.54604752159
24262.66627548213,24295.18762508512
16983.90563824812,17016.42340340403
11888.715247792234,11916.386250526151
8322.109315178814,8346.151759021146
5825.491447920497,5845.9499593592145
4077.849286544901,4095.041285200419
2854.5129727366075,2868.1931480341646
1998.169463059721,2009.1606462975656
1398.7226870284444,1407.5187547755245
979.1407416266104,985.9701938515879
685.4248344024797,690.5754972827308
479.82524449855043,483.8118087640443
335.912470599041,338.99707597946883
235.22026549769168,237.63867742565975
164.74943625527035,166.70416035512693
115.44590990386344,117.0163769205006
80.99164013932106,82.31770798086728
56.984446713937885,58.08000861846644
40.24713895131548,41.23059785595415
28.707506888345534,29.548760385479632
20.86069718880585,21.503829611873925
15.591910754672352,16.137902571918985
12.215256777537373,12.682160866282443
10.14370898521836,10.467029127485809
8.98096228169034,9.219302417616417
8.33067851521209,8.503123280767332
7.980193895487302,8.09624612464634
7.806730049601768,7.889621922925162
7.727329245158307,7.788311169240867
7.676566170714694,7.764905658546181
7.64325870797056,7.72043321997439
7.633433253122948,7.702229796152862
7.623717833020094,7.696322024726666
7.616484038494064,7.692961586912901
7.6069955073367055,7.678508978427074
7.600824011920534,7.701664546455381
7.593551631056737,7.6892718334009205
